tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
114,100.000000,136.780194,0.000000,0.050000,0.017835,0.250000,0.510000,2599.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
115,100.000000,136.780194,0.000000,0.050000,0.020410,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
116,100.000000,136.780194,0.000000,0.050000,0.023356,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,-38.257345,0.000000,-1.102349,1518
117,100.000000,136.780194,0.000000,0.050000,0.026728,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000000,-60.625805,0.000000,-1.587469,1518
118,100.000000,136.780194,0.000000,0.050000,0.030586,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
119,100.000000,136.780194,0.000000,0.050000,0.035002,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
120,100.000000,136.780194,0.000000,0.050000,0.040055,0.250000,0.446888,1968.8773,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
121,100.000000,136.780194,0.000000,0.050000,0.045837,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1518
122,100.000000,136.780194,0.000000,0.050000,0.052455,0.250000,0.450000,1999.9999,0.000000,1.000000,0.000004,27.020553,0.000000,-1.302250,1518
123,100.000000,136.780194,0.000000,0.050000,0.060027,0.250000,2.450000,21999.9999,0.000000,1.000000,0.000031,0.000000,0.000000,0.000000,1518
124,100.000000,136.780194,0.000002,0.050000,0.068693,0.250000,5.000000,47500.0000,0.000001,0.914111,0.000171,5.711059,0.000001,-0.000000,1518
125,100.000000,136.780194,0.000009,0.050000,0.078610,0.250000,5.000000,47500.0000,0.000006,0.925816,0.000773,5.177042,0.000004,-0.000000,1518
126,100.000000,136.780194,0.000037,0.050000,0.089959,0.250000,5.000000,47500.0000,0.000023,0.933431,0.002911,4.891395,0.000013,-0.000000,1518
127,100.000000,136.780194,0.000134,0.050000,0.102946,0.250000,5.000000,47500.0000,0.000072,0.938289,0.009353,4.790055,0.000036,-0.000000,1518
128,100.000000,136.780194,0.000422,0.050000,0.117808,0.250000,5.000000,47500.0000,0.000201,0.941266,0.026155,4.832055,0.000089,-0.000000,1518
129,100.000000,136.780194,0.001174,0.050000,0.134815,0.250000,5.000000,47500.0000,0.000496,0.942918,0.064777,4.994093,0.000192,-0.000000,1518
130,100.000000,136.780194,0.002934,0.050000,0.154277,0.250000,5.000000,47500.0000,0.001099,0.943568,0.144272,5.268362,0.000374,-0.000000,1518
131,100.000000,136.780194,0.006672,0.050000,0.176550,0.250000,5.000000,47500.0000,0.002220,0.943344,0.292851,5.663213,0.000663,-0.000000,1518
132,100.000000,136.780194,0.013965,0.050000,0.202037,0.250000,5.000000,47500.0000,0.004131,0.942201,0.548125,6.206861,0.001085,-0.000000,1518
