tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
43212,39.051825,45.034998,2.911196,0.068278,0.472151,0.430278,0.430279,199.8983,0.410880,0.411230,10.436891,10.438921,0.033687,0.033691,1036
43213,45.740115,37.853900,15.917421,0.016669,1.153088,0.639132,0.639219,2.2756,0.741151,0.740868,15.895252,15.903881,0.010309,0.010317,391
43214,53.482591,62.647137,7.463069,0.033270,1.147981,0.437174,0.437176,1.6404,0.491256,0.491557,22.855223,22.855622,0.015921,0.015921,552
43215,25.247037,32.206401,0.000746,0.071179,0.178303,0.180476,0.300000,404.0797,0.001395,0.000000,0.048683,0.000000,0.002373,0.000000,1518
43216,58.359365,48.281015,16.005375,0.010638,0.947299,0.483205,0.483203,0.7715,0.745272,0.744849,18.229097,18.244531,0.011693,0.011698,553
43217,74.668047,103.067107,0.309006,0.063853,1.139681,0.146406,0.325085,2961.6122,0.064440,0.052724,10.039402,8.854844,0.010792,0.007216,1518
43218,49.150901,43.180498,17.104076,0.045442,1.841033,0.501567,0.501731,2.0475,0.743284,0.743187,21.489986,21.493748,0.009633,0.009632,553
43219,23.743066,24.109069,0.756259,0.057053,0.052831,0.408872,0.408866,3.1214,0.466642,0.466681,2.169541,2.169563,0.178165,0.178119,391
43220,72.444109,94.832003,1.673060,0.060963,0.447654,0.364139,0.386482,2.5795,0.191746,0.132594,13.227120,10.398287,0.015461,0.011428,713
43221,73.628788,59.658142,23.060777,0.030925,1.349730,0.444962,0.445039,1.1916,0.772237,0.776816,25.832110,25.536338,0.007934,0.007845,391
43222,23.197591,16.654593,9.726067,0.062248,1.473327,0.518872,0.519243,0.0466,0.838094,0.836795,6.904194,6.940726,0.016783,0.016859,391
43223,41.801354,35.220060,9.074513,0.044883,0.615355,0.362922,0.362982,0.0609,0.799856,0.799385,9.184190,9.197088,0.023535,0.023563,552
43224,61.125660,46.641238,19.707900,0.051234,1.861731,0.231929,0.235122,0.0004,0.905619,0.901621,14.028896,14.489546,0.008696,0.008852,552
43225,64.048719,51.552582,14.219977,0.037358,0.359199,0.377824,0.379154,3.7064,0.870965,0.869304,8.078642,8.153775,0.014511,0.014594,713
43226,25.299250,20.050943,10.324513,0.062399,1.581255,0.577722,0.577927,0.6009,0.793633,0.793184,9.074687,9.086299,0.015520,0.015528,714
43227,58.092643,74.020780,0.189295,0.054392,1.145008,0.108132,0.120143,31.9332,0.067061,0.087957,8.074706,9.953864,0.019325,0.021060,714
43228,70.968712,73.136325,27.562285,0.067965,1.871385,0.677408,0.677742,1451.2895,0.715025,0.713678,32.958732,33.032103,0.005162,0.005171,1518
43229,62.230902,81.084654,0.285164,0.074608,0.878806,0.143723,0.156012,397.1016,0.079241,0.099122,8.610561,10.190297,0.017604,0.016837,1518
43230,79.530331,59.348125,32.934586,0.049946,1.841709,0.494819,0.495347,11.1487,0.818232,0.826863,28.494968,27.634266,0.004944,0.004788,552
43231,44.413663,45.883878,7.159608,0.043954,1.435911,0.311179,0.311301,5.2838,0.605791,0.605789,20.481011,20.480841,0.023237,0.023229,713
43232,49.677068,49.218403,5.108469,0.074993,0.556317,0.260252,0.260273,1.9660,0.640490,0.640375,13.855464,13.856804,0.038779,0.038721,392
43233,52.391258,47.973070,8.528044,0.057862,0.247645,0.569641,0.569635,51.2933,0.692543,0.692443,9.164910,9.166041,0.023669,0.023668,552
43234,57.842545,71.871619,8.199307,0.015262,0.755411,0.627853,0.627853,0.9424,0.458596,0.457134,19.948108,19.940271,0.012571,0.012566,552
43235,76.096056,76.892674,2.949661,0.042298,0.138983,0.275136,0.275186,1.7248,0.502820,0.494942,11.317268,11.316674,0.051110,0.051097,393
43236,75.591870,80.150172,20.067441,0.045295,1.781687,0.491673,0.491901,45.2763,0.641283,0.634068,37.701818,37.957755,0.007532,0.007580,713
43237,65.979844,84.013852,1.401487,0.062626,0.339169,0.383633,0.392610,0.2480,0.190860,0.152403,10.456287,9.055737,0.018460,0.015639,391
43238,20.985108,28.639265,0.307985,0.074632,0.521568,0.314951,0.319479,0.0597,0.139564,0.146058,3.366097,3.471855,0.046532,0.047352,391
43239,65.859584,46.841919,19.638715,0.020077,0.664789,0.104728,0.315496,13.3021,0.999986,0.949940,0.003308,5.809915,0.000011,0.007739,875
43240,54.011099,61.318994,5.232116,0.062041,1.907240,0.183235,0.183547,1.4127,0.536909,0.537261,29.630003,29.627498,0.029064,0.029013,713
43241,68.611268,48.751996,26.898342,0.033662,1.207205,0.537449,0.537590,1.5894,0.827093,0.825589,19.284304,19.391610,0.006314,0.006347,391
43242,40.138103,55.685473,1.121899,0.061188,0.407167,0.467496,0.469214,199.3061,0.193566,0.197417,7.029776,7.114372,0.022923,0.023116,1519
43243,67.358440,84.864508,18.290870,0.067749,1.865858,0.578163,0.579278,192.8680,0.603495,0.583023,35.464139,35.908336,0.007246,0.007323,1196
43244,57.122562,41.723910,15.807563,0.028413,0.340943,0.207041,0.333677,0.2890,0.996918,0.929640,0.312629,4.532816,0.001357,0.010182,391
43245,78.003888,72.933335,10.617162,0.066168,1.096999,0.108846,0.112934,0.7492,0.900304,0.909913,14.306279,13.313174,0.019691,0.017714,713
43246,60.340036,49.218280,16.510665,0.076636,0.559715,0.523561,0.523636,0.8299,0.795450,0.794897,12.809474,12.829949,0.012006,0.012022,713
43247,35.739547,46.411487,2.153702,0.028069,0.438746,0.550840,0.550923,0.2624,0.308559,0.310059,8.334736,8.352256,0.026999,0.027051,552
43248,38.072786,37.682840,5.575230,0.042861,0.714706,0.381011,0.381130,1.3942,0.613371,0.613355,12.318641,12.318653,0.031208,0.031204,391
43249,38.149260,38.078748,1.829390,0.027268,0.205900,0.244846,0.244841,1.8362,0.548842,0.548823,6.854143,6.854158,0.093418,0.093420,552
43250,78.425941,95.376513,12.365169,0.060722,0.690038,0.653727,0.658856,0.0747,0.495350,0.446717,25.988240,25.757736,0.009367,0.009215,552
43251,33.539963,40.220343,11.152117,0.034060,1.985056,0.680049,0.680143,1.3997,0.640599,0.640807,17.668807,17.665014,0.011635,0.011631,552
43252,28.150463,30.572648,6.034873,0.052165,1.878145,0.385294,0.385491,17.1760,0.615330,0.615391,14.743071,14.742217,0.025710,0.025695,875
43253,45.411563,40.822222,8.123365,0.056908,0.691450,0.312371,0.312397,2.5553,0.755384,0.755227,11.860799,11.864646,0.026629,0.026633,552
43254,24.206208,19.735872,6.245838,0.045194,0.411266,0.593922,0.593948,1510.7782,0.780915,0.780327,4.585400,4.592390,0.032038,0.032081,1518
43255,54.642245,38.844888,18.095008,0.045142,1.349936,0.109124,0.228538,1.5851,0.999393,0.946575,0.135064,7.109443,0.000307,0.007991,391
43256,42.633543,31.008777,12.390460,0.016315,1.491612,0.122508,0.171810,40.8758,0.990993,0.932341,1.266513,6.876209,0.003813,0.012695,874
43257,72.729948,92.167522,6.986313,0.052996,0.437461,0.658279,0.665614,0.0704,0.392403,0.338341,18.488511,17.592500,0.012137,0.011421,552
43258,32.926667,34.262227,8.430824,0.075469,1.016031,0.611066,0.611238,0.2601,0.643530,0.643540,12.374248,12.373941,0.018383,0.018378,713
43259,47.630558,57.412158,1.452819,0.022981,0.979526,0.219501,0.219556,0.0180,0.258641,0.259578,15.249359,15.277574,0.031263,0.031307,391
43260,52.206230,69.033094,2.592591,0.010825,1.758193,0.257868,0.257959,0.5480,0.277439,0.279334,23.198341,23.274948,0.018774,0.018829,714
43261,71.867833,86.313499,1.594294,0.065505,0.866988,0.176520,0.181938,89.7749,0.246154,0.181143,21.089746,17.629473,0.026681,0.021613,1035
43262,34.659741,42.092327,2.175959,0.060358,1.921807,0.171052,0.171236,2.3683,0.416209,0.417425,18.744231,18.756354,0.047466,0.047443,552
43263,75.664290,58.133138,25.656856,0.031684,1.288317,0.460986,0.461136,0.0462,0.800486,0.805918,24.008509,23.610565,0.007061,0.006942,553
43264,51.212024,58.262501,1.074589,0.058350,0.372719,0.240486,0.240525,54.1841,0.255593,0.256061,10.051797,10.061181,0.042759,0.042789,714
43265,71.089484,79.967633,0.972978,0.020950,0.613047,0.154931,0.157429,1.4963,0.210816,0.169065,16.078185,14.036288,0.033496,0.028738,713
43266,36.309259,37.493725,1.854683,0.050086,0.956711,0.110547,0.110572,0.3883,0.579394,0.579372,13.886799,13.886852,0.099595,0.099558,713
43267,54.003513,60.223313,7.001325,0.063228,0.355812,0.693024,0.693017,81.1621,0.498969,0.499091,12.851113,12.851156,0.017870,0.017870,713
43268,54.834605,49.005628,6.631060,0.033513,0.443738,0.114873,0.130727,566.6597,0.955557,0.928823,3.427780,5.006336,0.022365,0.028321,1679
43269,26.797868,27.919263,1.235079,0.033782,0.131012,0.428562,0.428556,8.2742,0.437156,0.437639,3.821481,3.822206,0.094778,0.094450,713
43270,59.126035,82.255278,1.382361,0.044665,0.489795,0.406568,0.414210,5.0460,0.173309,0.152904,10.600998,9.773162,0.015228,0.013761,552
43271,49.208082,67.805090,0.133178,0.033818,0.962050,0.163980,0.194493,1.1319,0.043589,0.090015,4.458915,7.860432,0.011673,0.016766,391
43272,67.996455,66.462315,17.983701,0.044694,1.700817,0.438152,0.438292,29.2788,0.676767,0.677487,31.844957,31.815063,0.009242,0.009231,552
43273,32.529558,44.836971,0.346110,0.031877,0.928814,0.226513,0.234629,73.3525,0.110263,0.121592,5.905107,6.333648,0.026525,0.027572,876
43274,57.332651,79.792575,15.747025,0.029576,1.866424,0.683869,0.684125,1.4224,0.568443,0.559929,30.786638,30.894257,0.007338,0.007361,713
43275,58.357271,59.086581,10.989334,0.078907,0.767529,0.483435,0.483594,24.9828,0.627575,0.627562,19.344356,19.344340,0.015308,0.015307,874
43276,47.239945,38.155293,12.516042,0.052302,1.256403,0.254070,0.254897,76.4154,0.869300,0.867814,11.243198,11.335552,0.015783,0.015850,874
43277,29.659505,32.544773,1.752918,0.066841,0.818516,0.209543,0.209572,3.8938,0.457668,0.458090,10.644697,10.645864,0.070551,0.070401,713
43278,37.862904,50.202929,0.113849,0.010886,1.610895,0.120855,0.140055,0.0654,0.049668,0.090107,4.930008,7.832143,0.017664,0.023553,713
43279,20.640966,24.087073,0.940899,0.075005,0.248151,0.481624,0.481631,1.0685,0.327798,0.328345,3.713673,3.716113,0.072932,0.072960,391
43280,60.616196,53.428684,7.977737,0.035663,0.164399,0.298308,0.300131,0.9702,0.875433,0.873720,5.047131,5.097965,0.028009,0.028132,553
43281,35.657175,39.204452,5.518011,0.071476,0.766540,0.493245,0.493384,18.2314,0.549018,0.549061,12.360316,12.360104,0.025712,0.025712,875
43282,56.787340,78.048180,6.770892,0.056362,1.625509,0.396044,0.396281,1.9350,0.422346,0.411653,28.335010,28.172519,0.013649,0.013558,552
