tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
1618,71.760510,72.501381,11.326272,0.059043,0.920208,0.362922,0.363058,1.3075,0.618152,0.616711,26.249024,26.278356,0.015263,0.015275,552
1619,74.319310,56.343485,19.503788,0.037630,0.367473,0.383903,0.393359,7.7616,0.913974,0.911506,7.073771,7.246262,0.009078,0.009089,714
1620,68.973671,95.996416,3.392477,0.021897,0.644392,0.470469,0.484780,0.5673,0.258121,0.196133,17.892187,15.319199,0.012406,0.010320,554
1621,56.262843,47.203400,14.749358,0.049692,0.792760,0.458165,0.458191,163.6329,0.767586,0.767227,15.300060,15.312859,0.013307,0.013317,1679
1622,49.977105,45.661590,11.212109,0.046535,1.463240,0.313295,0.313361,836.3960,0.728225,0.728142,20.054494,20.057116,0.017515,0.017513,1679
1623,36.827793,44.626892,1.258686,0.026868,0.439057,0.361934,0.362021,0.2592,0.263745,0.264644,7.973621,7.987271,0.036996,0.037049,713
1624,37.399244,42.643874,0.562228,0.046198,0.265114,0.263319,0.263537,2.1799,0.209025,0.209667,5.534602,5.544531,0.056682,0.056737,714
1625,20.014576,15.788603,5.740299,0.054694,1.407062,0.243444,0.245338,18.9396,0.891063,0.888357,4.433166,4.516247,0.032308,0.032618,714
1626,66.702314,75.106814,11.692607,0.034944,1.459267,0.422584,0.422807,13.1842,0.548813,0.538952,31.904433,31.991935,0.011628,0.011661,713
1627,23.812143,23.273349,3.945635,0.041559,1.449345,0.265152,0.265192,639.6041,0.662757,0.662707,10.471043,10.471467,0.048054,0.048014,1519
1628,27.216258,32.454567,4.280221,0.034958,1.002798,0.530377,0.530476,0.0508,0.500054,0.500414,10.872898,10.872914,0.027599,0.027594,552
1629,21.332169,19.467880,3.958908,0.032837,1.389497,0.250901,0.250923,0.0365,0.729520,0.729424,8.321702,8.323001,0.052454,0.052458,552
1630,52.053225,66.454333,1.132567,0.057721,0.244405,0.468029,0.469347,37.0957,0.189715,0.192871,6.976795,7.047730,0.022510,0.022610,713
1631,30.875015,37.000790,2.717503,0.036092,0.638942,0.463316,0.463314,1443.8023,0.404673,0.405275,9.563299,9.566782,0.033889,0.033891,1518
1632,77.767088,61.331723,19.325543,0.039238,0.688882,0.300525,0.304049,4.0689,0.881977,0.893755,12.761203,11.851986,0.010192,0.009343,874
1633,41.791347,30.783008,12.462351,0.037449,1.059754,0.227918,0.244409,806.3260,0.944024,0.928703,4.852716,5.903746,0.011503,0.012992,1518
1634,68.962010,87.015749,4.735165,0.031938,0.780948,0.405237,0.408947,213.9915,0.344348,0.297823,22.437735,21.118879,0.014908,0.013903,1518
1635,37.289128,32.262761,6.549126,0.021613,1.122721,0.187907,0.188038,638.8676,0.828594,0.827628,10.051249,10.087820,0.034264,0.034281,1518
1636,20.407290,16.469913,4.152408,0.059832,0.196586,0.265524,0.328805,185.1850,0.976123,0.933745,0.508805,1.176755,0.023406,0.041043,1518
1637,28.956081,25.154072,6.842471,0.040806,1.410576,0.295927,0.295984,11.9886,0.770350,0.770106,10.433689,10.439682,0.029811,0.029821,714
1638,72.403487,70.701512,7.932678,0.028291,0.569012,0.301119,0.301140,2.8786,0.613774,0.618487,20.896462,20.820203,0.023265,0.023190,391
1639,39.001061,45.791644,0.354550,0.043088,0.505416,0.176357,0.177556,0.4129,0.148275,0.151133,6.415013,6.498236,0.047316,0.047554,552
1640,31.477349,31.010971,6.979475,0.035090,1.411729,0.415630,0.415728,0.7925,0.647083,0.647056,13.894602,13.894786,0.023900,0.023906,552
1641,35.305233,27.853128,7.618183,0.032217,0.181951,0.213064,0.340291,833.1185,0.996722,0.922351,0.149224,2.200488,0.003088,0.022982,713
1642,30.440627,37.519032,0.036020,0.042312,0.122173,0.301785,0.385097,0.2059,0.030036,0.077668,0.724685,1.554966,0.021211,0.035463,713
1643,50.393000,55.128993,5.025504,0.031804,0.538715,0.443361,0.443356,0.0188,0.475811,0.475903,14.728565,14.728762,0.024283,0.024284,552
1644,72.276619,60.337038,13.091488,0.055912,0.236666,0.289958,0.305829,0.0211,0.925676,0.920931,4.943021,5.206709,0.013789,0.013826,553
1645,53.079043,50.514275,5.668409,0.043573,0.276123,0.360056,0.360052,0.1940,0.662742,0.662707,10.187967,10.188207,0.036372,0.036373,552
1646,32.179614,32.704409,3.241825,0.043617,1.215727,0.188767,0.188795,35.2431,0.610689,0.610662,13.606571,13.606690,0.057257,0.057238,875
1647,52.881290,63.030098,2.487855,0.045165,1.209785,0.211063,0.211084,94.5577,0.342808,0.343560,21.378719,21.396055,0.029940,0.029962,1036
1648,62.610396,73.513326,0.205395,0.036470,0.134198,0.283180,0.312030,0.5461,0.073743,0.087226,3.205086,3.650316,0.021515,0.021864,552
1649,60.164724,51.217933,16.540887,0.056528,0.927221,0.469121,0.469162,143.1083,0.757504,0.757176,18.111682,18.124549,0.011503,0.011500,1035
1650,75.287464,104.269688,0.003605,0.044910,0.114938,0.315136,0.300000,4.6861,0.001607,0.000000,0.132636,0.000000,0.000646,0.000000,552
1651,71.591269,62.733303,21.825643,0.044548,1.473441,0.467415,0.467494,1.7755,0.736362,0.739971,28.389394,28.188762,0.008043,0.007984,391
1652,25.135973,20.823156,7.393178,0.020879,1.161765,0.476751,0.476753,0.3102,0.748714,0.748349,8.632910,8.639329,0.024669,0.024685,391
1653,20.836941,24.170501,1.795922,0.044460,0.611131,0.428413,0.428411,1.2626,0.422878,0.423223,6.376666,6.377708,0.056096,0.056103,391
1654,40.548513,31.448361,9.486007,0.043557,0.197504,0.358262,0.406072,1.3111,0.958176,0.932766,1.610070,2.368833,0.013839,0.017710,391
1655,64.532061,68.198440,2.581367,0.035923,0.691424,0.160579,0.160598,164.9073,0.436019,0.430077,21.131205,21.077313,0.045703,0.045581,1036
1656,40.133432,55.513130,3.223682,0.033175,1.322978,0.385118,0.385173,2.1038,0.340245,0.342703,16.918822,16.964896,0.020616,0.020665,714
1657,70.837805,71.467697,3.340545,0.022980,0.125141,0.354157,0.354445,0.0400,0.505958,0.502788,9.996007,9.996896,0.044947,0.044950,391
1658,78.166363,92.646422,2.069158,0.027574,0.199283,0.458529,0.474891,3.0887,0.241626,0.174276,10.887626,8.971590,0.019501,0.015546,552
1659,70.486386,79.817811,10.638301,0.021133,1.002192,0.481412,0.481881,0.8483,0.510748,0.493184,28.140591,28.146730,0.011740,0.011731,392
1660,67.296512,59.310072,10.877242,0.028594,1.092147,0.166132,0.166342,0.1456,0.839964,0.839412,17.114334,17.154438,0.020828,0.020850,553
1661,32.068193,26.457548,7.087330,0.036738,0.572847,0.353416,0.353574,214.8946,0.824181,0.823433,6.275095,6.292196,0.030140,0.030198,1518
1662,48.605233,43.233004,6.027886,0.044204,0.140839,0.308298,0.309808,0.0298,0.869493,0.868087,3.869172,3.899375,0.037719,0.037840,391
1663,37.920329,49.556514,2.828196,0.054311,1.145441,0.347993,0.348032,0.0539,0.357435,0.359075,15.145651,15.169596,0.026424,0.026463,394
1664,27.855875,33.074813,0.112773,0.037649,0.388503,0.176000,0.185850,2.3223,0.084220,0.100272,2.683146,3.058225,0.050571,0.054160,553
1665,69.518504,54.791596,21.446655,0.054569,1.364337,0.335833,0.336165,1.5762,0.839596,0.838665,19.789741,19.866429,0.008937,0.008961,713
1666,64.662092,73.301695,11.128990,0.037272,1.224306,0.464323,0.464501,0.3870,0.540465,0.533013,28.396381,28.445507,0.011947,0.011969,713
