tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
105,1.004466,1.000000,0.007234,0.052500,0.011390,0.099110,0.101032,0.0327,0.685502,0.613460,0.038056,0.041025,33.411637,1.058365,230
106,1.003807,1.000000,0.006750,0.052500,0.011390,0.098105,0.099338,0.1104,0.664674,0.605962,0.039045,0.041222,34.676094,-1.301087,230
107,1.003148,1.000000,0.006345,0.052500,0.011390,0.098743,0.099437,0.0530,0.640685,0.596184,0.040027,0.041463,35.365714,0.313081,230
108,1.002490,1.000000,0.005803,0.052500,0.011390,0.095600,0.095984,0.6590,0.620769,0.586892,0.040712,0.041666,37.202207,-1.259725,230
109,1.001834,1.000000,0.005387,0.052500,0.011390,0.095192,0.095359,2.7964,0.596483,0.574107,0.041402,0.041916,38.044456,1.006774,230
110,1.001177,1.000000,0.005016,0.052500,0.011390,0.095498,0.095547,9.7408,0.571121,0.558604,0.041948,0.042166,38.473354,-0.631788,230
111,1.000522,1.000000,0.004607,0.052500,0.011390,0.094479,0.094486,27.4588,0.546224,0.540907,0.042313,0.042375,39.278104,-1.644067,230
112,0.999868,1.000000,0.004166,0.052500,0.011390,0.092310,0.092307,48.8432,0.520821,0.519855,0.042514,0.042518,40.444251,-1.840772,230
113,0.999214,1.000000,0.003850,0.052500,0.011390,0.092669,0.092680,886.6071,0.494392,0.494163,0.042540,0.042539,40.364967,1.351907,552
114,0.998562,1.000000,0.003442,0.052500,0.011390,0.090465,0.090460,1448.6942,0.467200,0.462931,0.042372,0.042332,41.239629,-1.926495,391
115,0.997910,1.000000,0.003101,0.052500,0.011390,0.089372,0.089438,838.8221,0.439637,0.425404,0.042001,0.041742,41.432055,-1.522572,391
116,0.997259,1.000000,0.002838,0.052500,0.011390,0.089722,0.090002,985.3783,0.413167,0.382941,0.041451,0.040618,40.783182,1.722211,391
117,0.996609,1.000000,0.002490,0.052500,0.011390,0.087575,0.088549,613.2000,0.384078,0.328341,0.040629,0.038440,41.007806,-1.995552,391
118,0.995960,1.000000,0.002221,0.052500,0.011390,0.086870,0.089616,253.7233,0.356607,0.269054,0.039636,0.035083,40.382534,-0.591145,391
119,0.995311,1.000000,0.001979,0.052500,0.011390,0.086363,0.091247,66.3451,0.329819,0.221841,0.038461,0.031602,39.467073,0.015274,230
120,0.994664,1.000000,0.001757,0.052500,0.011390,0.085902,0.092537,83.6134,0.303692,0.187326,0.037113,0.028556,38.338132,-1.317346,230
121,0.994017,1.000000,0.001521,0.052500,0.011390,0.084589,0.092950,111.2483,0.276264,0.156361,0.035478,0.025428,37.266738,1.189134,230
