tick,S,K,moneyness_SK,moneyness_KS,T,r,true_iv,fpga_iv,abs_err,true_delta,fpga_delta,delta_err,true_vega,fpga_vega,vega_err,true_gamma,fpga_gamma,gamma_err,is_liquid
50,57.3052,44.0091,1.3021,0.7680,0.9111,0.0471,0.328484,0.329448,0.000963,0.871916,0.869886,0.002030,11.452774,11.583085,0.130310,0.011653,0.011730,0.000077,0
51,42.5025,33.0486,1.2861,0.7776,0.2807,0.0408,0.206923,0.312905,0.105982,0.992936,0.938948,0.053988,0.442371,2.760974,2.318603,0.004216,0.016466,0.012251,0
52,79.6100,82.2801,0.9675,1.0335,1.2831,0.0202,0.179554,0.179807,0.000253,0.526671,0.509641,0.017029,35.894883,35.964837,0.069953,0.024584,0.024598,0.000014,1
53,61.1341,64.2659,0.9513,1.0512,0.4905,0.0293,0.201503,0.201501,0.000002,0.427944,0.427990,0.000046,16.801130,16.801379,0.000249,0.045486,0.045487,0.000001,1
54,69.8099,52.3581,1.3333,0.7500,0.4720,0.0426,0.395332,0.399106,0.003774,0.897779,0.894141,0.003638,8.552642,8.783460,0.230818,0.009406,0.009561,0.000155,0
55,41.3764,51.6670,0.8008,1.2487,0.1930,0.0367,0.379695,0.389922,0.010227,0.113992,0.121518,0.007525,3.506370,3.670907,0.164537,0.027947,0.028588,0.000642,0
56,52.1122,61.1709,0.8519,1.1738,1.1552,0.0516,0.173316,0.173344,0.000028,0.327408,0.328127,0.000719,20.219321,20.236926,0.017605,0.037188,0.037214,0.000026,1
57,24.5503,20.5019,1.1975,0.8351,1.4175,0.0229,0.164722,0.165738,0.001016,0.881421,0.879537,0.001884,5.798180,5.866782,0.068602,0.041199,0.041452,0.000252,0
58,27.8884,23.3212,1.1958,0.8362,0.8060,0.0583,0.278434,0.278837,0.000403,0.848097,0.847206,0.000891,5.887081,5.910796,0.023715,0.033726,0.033796,0.000070,0
59,78.1817,86.4174,0.9047,1.1053,0.4325,0.0539,0.401997,0.404278,0.002281,0.437020,0.395930,0.041090,20.254718,19.808730,0.445987,0.019061,0.018554,0.000508,1
60,70.7419,89.4497,0.7909,1.2645,1.0803,0.0358,0.381758,0.385580,0.003823,0.383759,0.332735,0.051024,28.078508,26.714628,1.363880,0.013605,0.012812,0.000793,0
61,52.8245,59.1564,0.8930,1.1199,0.7828,0.0378,0.522863,0.522973,0.000110,0.520152,0.520279,0.000128,18.621093,18.620785,0.000307,0.016305,0.016300,0.000005,1
62,33.6052,25.2846,1.3291,0.7524,1.2703,0.0453,0.357758,0.358185,0.000428,0.853090,0.851649,0.001441,8.709118,8.767757,0.058640,0.016969,0.017054,0.000085,0
63,79.4726,99.6999,0.7971,1.2545,0.6380,0.0276,0.477280,0.489109,0.011829,0.360190,0.284893,0.075297,23.752111,21.546080,2.206032,0.012351,0.010931,0.001420,0
64,74.3291,99.0779,0.7502,1.3330,0.2731,0.0330,0.196803,0.300000,0.103197,0.003963,0.000000,0.003963,0.456368,0.000000,0.456368,0.001537,0.000000,0.001537,0
65,27.0241,33.9773,0.7954,1.2573,1.2402,0.0525,0.347699,0.347732,0.000034,0.409264,0.410381,0.001117,11.694290,11.701857,0.007567,0.037135,0.037143,0.000008,0
66,44.0114,42.8634,1.0268,0.9739,0.2797,0.0510,0.471372,0.471367,0.000005,0.613265,0.613239,0.000026,8.908425,8.908501,0.000076,0.034888,0.034874,0.000014,1
67,62.3664,80.9844,0.7701,1.2985,1.2880,0.0205,0.223293,0.225612,0.002319,0.211926,0.182565,0.029361,20.507871,18.737902,1.769969,0.018333,0.016592,0.001741,0
68,72.6060,55.7907,1.3014,0.7684,0.5216,0.0312,0.358344,0.360627,0.002283,0.886885,0.884910,0.001975,10.058872,10.192089,0.133217,0.010209,0.010282,0.000073,0
69,77.1343,88.3856,0.8727,1.1459,1.2122,0.0497,0.536145,0.537454,0.001310,0.566158,0.540063,0.026094,33.413742,33.709608,0.295866,0.008641,0.008696,0.000055,1
70,55.9685,69.6611,0.8034,1.2446,0.8669,0.0271,0.313933,0.313965,0.000032,0.300738,0.301820,0.001082,18.139012,18.168012,0.029000,0.021277,0.021308,0.000032,0
71,22.7137,24.6692,0.9207,1.0861,0.1678,0.0300,0.489964,0.489957,0.000007,0.387450,0.387573,0.000122,3.563682,3.563969,0.000287,0.083993,0.083992,0.000000,1
72,25.6801,31.5123,0.8149,1.2271,0.8274,0.0495,0.473338,0.473344,0.000006,0.434474,0.435163,0.000689,9.192725,9.195314,0.002589,0.035594,0.035601,0.000007,0
73,25.9053,21.5765,1.2006,0.8329,0.2513,0.0217,0.497142,0.497270,0.000128,0.810609,0.809981,0.000628,3.517325,3.524516,0.007190,0.041947,0.042021,0.000074,0
74,74.5012,79.8457,0.9331,1.0717,0.1903,0.0543,0.154810,0.158630,0.003820,0.200658,0.151309,0.049349,9.116241,7.622365,1.493876,0.055757,0.045839,0.009918,1
75,39.5068,39.3574,1.0038,0.9962,0.6430,0.0242,0.331060,0.331181,0.000121,0.581477,0.581466,0.000011,12.373805,12.373785,0.000020,0.037242,0.037231,0.000012,1
76,44.2659,49.2324,0.8991,1.1122,0.6028,0.0299,0.535803,0.535796,0.000007,0.498320,0.498434,0.000114,13.711242,13.711285,0.000044,0.021664,0.021664,0.000000,1
77,32.3948,26.8626,1.2059,0.8292,0.1278,0.0224,0.248782,0.326301,0.077518,0.985460,0.925809,0.059651,0.426927,1.636194,1.209266,0.012798,0.032023,0.019225,0
78,46.6042,34.0317,1.3694,0.7302,1.1803,0.0287,0.488023,0.488132,0.000109,0.821719,0.820387,0.001332,13.205885,13.268243,0.062358,0.010555,0.010602,0.000047,0
79,79.8425,63.9781,1.2480,0.8013,0.4536,0.0476,0.292375,0.305651,0.013276,0.908761,0.919855,0.011094,8.821012,8.042037,0.778975,0.010435,0.009118,0.001317,0
80,27.5112,36.7819,0.7480,1.3370,0.9673,0.0510,0.360053,0.360121,0.000068,0.307244,0.309489,0.002245,9.508473,9.538692,0.030219,0.036072,0.036160,0.000088,0
81,74.4737,78.7789,0.9454,1.0578,0.1123,0.0363,0.388154,0.389549,0.001395,0.368523,0.337192,0.031332,9.409121,9.113659,0.295462,0.038932,0.037661,0.001270,1
82,32.3453,31.1161,1.0395,0.9620,1.2213,0.0372,0.226821,0.226840,0.000019,0.677713,0.677437,0.000275,12.821000,12.825309,0.004309,0.044238,0.044104,0.000133,1
83,38.8604,31.3590,1.2392,0.8070,0.4520,0.0570,0.178748,0.249869,0.071120,0.980255,0.944837,0.035418,1.251246,2.986305,1.735058,0.010256,0.019416,0.009160,0
84,45.3426,51.2639,0.8845,1.1306,1.3864,0.0207,0.239798,0.239797,0.000000,0.423918,0.424153,0.000235,20.910488,20.912748,0.002260,0.030593,0.030596,0.000003,1
85,79.7766,72.4789,1.1007,0.9085,1.0225,0.0571,0.196181,0.197179,0.000998,0.809802,0.832479,0.022677,21.905222,20.223425,1.681797,0.017158,0.015755,0.001403,1
86,75.1347,97.9320,0.7672,1.3034,0.2601,0.0274,0.455393,0.493020,0.037627,0.160081,0.115541,0.044540,9.326367,7.468546,1.857822,0.013948,0.009888,0.004060,0
87,39.0399,35.7114,1.0932,0.9147,0.6006,0.0493,0.462510,0.462512,0.000002,0.695103,0.694957,0.000146,10.595991,10.598039,0.002048,0.025029,0.024999,0.000030,1
88,42.1528,33.5655,1.2558,0.7963,0.7990,0.0250,0.345379,0.345556,0.000176,0.830673,0.829681,0.000992,9.510794,9.546992,0.036198,0.019395,0.019453,0.000057,0
89,24.4111,27.3623,0.8921,1.1209,1.1017,0.0257,0.340265,0.340263,0.000002,0.475343,0.475500,0.000157,10.202174,10.202413,0.000240,0.045672,0.045673,0.000001,1
90,43.0702,35.5796,1.2105,0.8261,1.4368,0.0385,0.549902,0.549933,0.000030,0.759063,0.758774,0.000289,16.083253,16.093408,0.010155,0.010974,0.010980,0.000006,0
91,23.1550,30.2222,0.7662,1.3052,0.2487,0.0232,0.295830,0.355514,0.059685,0.045260,0.082841,0.037580,1.099600,1.769489,0.669889,0.027877,0.037877,0.010000,0
92,48.7448,67.3076,0.7242,1.3808,0.4750,0.0478,0.171900,0.329930,0.158030,0.006705,0.062404,0.055699,0.630206,4.183908,3.553702,0.003248,0.014242,0.010993,0
93,68.8156,59.6333,1.1540,0.8666,1.0986,0.0596,0.437020,0.437091,0.000070,0.753176,0.753321,0.000145,22.765431,22.757753,0.007678,0.010013,0.010007,0.000006,0
94,43.1965,52.9238,0.8162,1.2252,0.4300,0.0393,0.481712,0.481727,0.000016,0.333056,0.334047,0.000991,10.295557,10.307457,0.011900,0.026639,0.026653,0.000014,0
95,45.3719,49.3604,0.9192,1.0879,0.8077,0.0548,0.489525,0.489645,0.000121,0.551379,0.551397,0.000018,16.132134,16.131972,0.000162,0.019820,0.019821,0.000001,1
96,79.3976,108.3715,0.7326,1.3649,0.9470,0.0392,0.350604,0.376451,0.025847,0.263553,0.171223,0.092330,25.237687,19.643444,5.594244,0.012057,0.008729,0.003329,0
97,50.1291,62.8397,0.7977,1.2536,0.2176,0.0254,0.337664,0.354284,0.016619,0.093283,0.107625,0.014342,3.899725,4.333869,0.434144,0.021118,0.022310,0.001192,0
98,60.5811,81.1406,0.7466,1.3394,1.0119,0.0406,0.515099,0.515912,0.000813,0.410788,0.389847,0.020941,23.701283,23.378724,0.322559,0.012390,0.012194,0.000196,0
99,54.7636,39.1699,1.3981,0.7153,1.2427,0.0289,0.420626,0.420930,0.000304,0.847477,0.845678,0.001799,14.392871,14.506941,0.114070,0.009181,0.009243,0.000062,0
100,60.9033,81.2587,0.7495,1.3342,1.4614,0.0472,0.536035,0.536625,0.000590,0.494193,0.476235,0.017958,29.369228,29.320187,0.049041,0.010107,0.010080,0.000027,0
101,20.4798,18.9209,1.0824,0.9239,0.3071,0.0447,0.198585,0.198698,0.000113,0.815687,0.814694,0.000993,3.022393,3.032550,0.010157,0.118164,0.118076,0.000088,1
102,24.0559,29.7603,0.8083,1.2371,1.2055,0.0460,0.511974,0.512082,0.000108,0.500492,0.501086,0.000594,10.536913,10.536903,0.000009,0.029502,0.029496,0.000006,0
103,35.6926,35.9450,0.9930,1.0071,1.3004,0.0271,0.431576,0.431665,0.000089,0.619213,0.619206,0.000007,15.507208,15.507116,0.000092,0.021689,0.021686,0.000003,1
104,50.4953,67.6342,0.7466,1.3394,1.2907,0.0304,0.481455,0.481469,0.000014,0.425054,0.426569,0.001515,22.481410,22.497520,0.016110,0.014188,0.014198,0.000009,0
105,70.5387,89.3660,0.7893,1.2669,1.3554,0.0249,0.199550,0.205888,0.006338,0.224525,0.166590,0.057936,24.599761,20.513330,4.086431,0.018280,0.014789,0.003491,0
106,30.5307,23.0073,1.3270,0.7536,0.1384,0.0299,0.456149,0.526049,0.069900,0.962186,0.934956,0.027230,0.934883,1.457331,0.522448,0.015891,0.021242,0.005351,0
107,79.3793,85.9538,0.9235,1.0828,1.4903,0.0351,0.283097,0.283825,0.000728,0.537349,0.510938,0.026411,38.489765,38.644812,0.155047,0.014478,0.014504,0.000026,1
108,69.5041,83.8043,0.8294,1.2057,0.1523,0.0272,0.415084,0.435692,0.020608,0.147175,0.113819,0.033356,6.243466,5.230139,1.013327,0.020450,0.016362,0.004089,0
109,47.7047,62.9496,0.7578,1.3196,1.4629,0.0470,0.172083,0.172609,0.000526,0.184517,0.188285,0.003767,15.376414,15.570292,0.193878,0.026840,0.027044,0.000203,0
110,69.7183,56.6400,1.2309,0.8124,0.7872,0.0269,0.409615,0.409648,0.000033,0.791525,0.790902,0.000622,17.750548,17.781534,0.030987,0.011326,0.011344,0.000018,0
111,51.0739,68.8664,0.7416,1.3484,0.7397,0.0479,0.423641,0.423752,0.000111,0.294272,0.296459,0.002187,15.139284,15.190633,0.051349,0.018520,0.018578,0.000058,0
112,49.6329,54.6428,0.9083,1.1009,1.2764,0.0576,0.229617,0.229767,0.000151,0.516829,0.516976,0.000147,22.350203,22.349856,0.000347,0.030957,0.030938,0.000019,1
113,48.3547,61.7156,0.7835,1.2763,1.1593,0.0201,0.400472,0.400479,0.000007,0.383516,0.384831,0.001315,19.878373,19.898321,0.019948,0.018313,0.018316,0.000003,0
114,61.1780,49.9736,1.2242,0.8169,1.3051,0.0406,0.313433,0.313544,0.000112,0.813829,0.813227,0.000601,18.729212,18.766853,0.037641,0.012233,0.012253,0.000020,0
115,47.1810,58.2188,0.8104,1.2339,0.3405,0.0371,0.237649,0.251473,0.013824,0.087619,0.101394,0.013775,4.382208,4.888126,0.505918,0.024331,0.025813,0.001483,0
116,58.7280,42.3178,1.3878,0.7206,0.3676,0.0343,0.397456,0.418930,0.021474,0.937338,0.924592,0.012746,4.387874,5.091770,0.703896,0.008708,0.009545,0.000837,0
117,73.4428,71.9413,1.0209,0.9796,1.4342,0.0356,0.257962,0.257995,0.000033,0.650519,0.653863,0.003343,32.560834,32.445290,0.115544,0.016316,0.016261,0.000055,1
118,25.5318,29.2255,0.8736,1.1447,0.5284,0.0562,0.245523,0.245531,0.000008,0.308047,0.308485,0.000438,6.529623,6.533569,0.003945,0.077208,0.077248,0.000041,1
119,46.7251,62.1730,0.7515,1.3306,1.1057,0.0594,0.435299,0.435341,0.000042,0.400658,0.402409,0.001752,18.990335,19.011622,0.021287,0.018072,0.018085,0.000013,0
120,42.9163,30.0845,1.4265,0.7010,0.4037,0.0599,0.524352,0.529971,0.005619,0.904122,0.899854,0.004268,4.640089,4.798553,0.158464,0.011902,0.012180,0.000279,0
121,26.9051,29.9600,0.8980,1.1135,0.9504,0.0310,0.340594,0.340594,0.000001,0.472421,0.472564,0.000143,10.439088,10.439336,0.000248,0.044549,0.044550,0.000001,1
122,61.7438,76.0078,0.8123,1.2310,0.5533,0.0248,0.348102,0.348844,0.000742,0.267561,0.249109,0.018452,15.116993,14.567023,0.549971,0.020587,0.019819,0.000768,0
